technology,sub_concept_id,sub_concept,lang,term,term_norm_v3,rule,gate,source,v2_reason
XBRL,XB-0,Generic XBRL term (technology-level),en,extensible business reporting language,extensible business reporting language,substring,,TH2.5.3,
ERP,ERP-6,"ERP integration with external/advanced systems (APIs, banks, NLP)",en,application programming interface,application programming interface,substring,ERP-0,FACCIA2023,
SAR,SAR-3,System integration for reporting (ERP ↔ disclosure platform ↔ BI),en,linked to the disclosure system,linked to the disclosure system,substring,,ASE,
SAR,SAR-1,Automated financial statement generation / automated close and consolidation,en,automated financial statements,automated financial statements,substring,,DASHK2024,
ERP,ERP-5,"ERP-based management reporting and costing (ABC, MES)",en,manufacturing execution system,manufacturing execution system,substring,,TSAI2020,
SAR,SAR-4,Automated regulatory and disclosure reporting,en,automated regulatory reporting,automated regulatory reporting,substring,,TH2.5.3,
SAR,SAR-5,Automated management reporting / board dashboards,en,automated management reporting,automated management reporting,substring,,TH2.5.3,
SAR,SAR-6,"Document automation feeding reporting (OCR, e-invoicing, e-archiving)",en,optical character recognition,optical character recognition,substring,,ASHRAF2025,
ERP,ERP-1,ERP implementation / upgrade (incl. named systems),ar,تطبيق نظام تخطيط موارد المؤسسة,تطبيق نظام تخطيط موارد مؤسسه,substring,,AR,
SAR,SAR-3,System integration for reporting (ERP ↔ disclosure platform ↔ BI),en,reporting system integration,reporting system integration,substring,,SHATILA2026,
ERP,ERP-0,Generic ERP term (technology-level),en,enterprise resource planning,enterprise resource planning,substring,,TH2.5.3,
AI/ML,AI-9,Chatbot / virtual assistant,en,intelligent customer service,intelligent customer service,substring,,LI2025,
ERP,ERP-5,"ERP-based management reporting and costing (ABC, MES)",ar,محاسبة التكاليف على أساس النشاط,محاسبه تكاليف علي اساس نشاط,substring,,AR,
AI/ML,AI-3,Natural language processing,en,natural language processing,natural language processing,substring,,TH2.5.5;LI2025,
ERP,ERP-3,Automated transaction flow / elimination of manual re-entry,en,without manual intervention,without manual intervention,substring,,TH2.5.3,
SAR,SAR-3,System integration for reporting (ERP ↔ disclosure platform ↔ BI),en,integrated reporting system,integrated reporting system,substring,,SHATILA2026,
SAR,SAR-4,Automated regulatory and disclosure reporting,en,regulatory reporting system,regulatory reporting system,substring,,TH2.5.3,
Cloud,CL-1,Cloud infrastructure / hosting / data centres (IaaS),en,infrastructure as a service,infrastructure as a service,substring,,ALOK2023,
XBRL,XB-5,XBRL-related training and e-disclosure governance,en,disclosure system training,disclosure system training,substring,,KUNS2025,
SAR,SAR-6,"Document automation feeding reporting (OCR, e-invoicing, e-archiving)",en,document management system,document management system,substring,,ALOK2023,
AI/ML,AI-8,RPA / robotic automation,en,robotic process automation,robotic process automation,substring,,HUS2022,
Big Data,BD-4,Predictive and forecasting analytics (data-driven),en,intelligent data analysis,intelligent data analysis,substring,,LI2025,
SAR,SAR-1,Automated financial statement generation / automated close and consolidation,en,automated reconciliation,automated reconciliation,substring,,ASHRAF2025,
AI/ML,AI-6,Automated classification,en,automated classification,automated classification,substring,,TH2.5.5,
Big Data,BD-2,Big data infrastructure / data warehouse / data platform,en,integrated data platform,integrated data platform,substring,,HUS2022,
AI/ML,AI-6,Automated classification,en,automatic classification,automatic classification,substring,,TH2.5.5,
AI/ML,AI-0,"Generic AI term (technology-level, not a sub-concept)",en,artificial intelligence,artificial intelligence,substring,,LI2025;HUS2022,
SAR,SAR-1,Automated financial statement generation / automated close and consolidation,en,automated consolidation,automated consolidation,substring,,ASHRAF2025,
SAR,SAR-1,Automated financial statement generation / automated close and consolidation,ar,توحيد القوائم المالية آلياً,توحيد قوائم ماليه اليا,substring,,AR-v2,Clearer than التوحيد الآلي
SAR,SAR-1,Automated financial statement generation / automated close and consolidation,ar,إعداد القوائم المالية آلياً,اعداد قوائم ماليه اليا,substring,,AR,AR-5 mangled the stem in v1
XBRL,XB-0,Generic XBRL term (technology-level),ar,لغة تقارير الأعمال الموسعة,لغه تقارير اعمال موسعه,substring,,AR,
ERP,ERP-5,"ERP-based management reporting and costing (ABC, MES)",en,activity-based costing,activity based costing,substring,,TSAI2020,
ERP,ERP-5,"ERP-based management reporting and costing (ABC, MES)",en,cost accounting system,cost accounting system,substring,,TSAI2020,
Cloud,CL-2,Cloud platforms (PaaS),en,platform as a service,platform as a service,substring,,ALOK2023,
ERP,ERP-2,"Module integration (finance/GL, procurement, inventory, HR, sales)",en,general ledger module,general ledger module,substring,,TH2.5.3,
ERP,ERP-4,ERP for IFRS compliance and segment reporting,ar,التحول إلى المعايير الدولية,تحول الي معايير دوليه,substring,ERP-0,AR,"restored in v3, gated by ERP-0"
XBRL,XB-1,XBRL filing / electronic disclosure submission,en,electronic disclosure,electronic disclosure,substring,,ASE,
ERP,ERP-6,"ERP integration with external/advanced systems (APIs, banks, NLP)",ar,التكامل مع الأنظمة الخارجية,تكامل مع انظمه خارجيه,substring,,AR,
Cloud,CL-3,Cloud software / SaaS / cloud-based accounting or ERP,en,software as a service,software as a service,substring,,ALOK2023,
Big Data,BD-1,Data analytics / BI / dashboards,en,business intelligence,business intelligence,substring,,LI2025,
Cloud,CL-5,Cloud migration / transition to cloud,en,migrated to the cloud,migrated to the cloud,substring,,HUS2022,
